Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BK3,BOX,BKG,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TRI,VBV,WLF,WRF,WRG
1988,ALG,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0
1992,ALG,0.004651162790697674,0.0,0.0037174721189591076,0.002844950213371266,0,0,0,0.0,0.0,0,0,0.03488372093023256,0,0.08333333333333333,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0
1996,ALG,0.007380073800738007,0.0,0.003355704697986577,0.0035629453681710215,0,0,0,0.0,0.0,0,0,0.056818181818181816,0,0.25,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0
2000,ALG,0.0033333333333333335,0.0033333333333333335,0.009174311926605505,0.005393743257820928,0,0,0,0.0,0.0,0,0,0.14130434782608695,0,0.041666666666666664,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0
2004,ALG,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.043478260869565216,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0
2008,ALG,0.0,0.0033003300330033004,0.0028328611898017,0.0020876826722338203,0,0,0,0.0,0.0,0,0,0.014184397163120567,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.10714285714285714,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0
2012,ALG,0.0033003300330033004,0.0,0.0,0.0010416666666666667,0,0,0,0.0,0.0,0,0,0.06382978723404255,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.023809523809523808,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0
2016,ALG,0.0,0.006514657980456026,0.0,0.00205761316872428,0,0,0,0.0,0.0,0,0,0.07446808510638298,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0
2020,ALG,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0
2024,ALG,0.006097560975609756,0.0,0.0026041666666666665,0.0028873917228103944,0,0,0,0.0,0.0,0,0,0.020833333333333332,0,0.11538461538461539,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.21428571428571427,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0
