Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BK3,BOX,BKG,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TRI,VBV,WLF,WRF,WRG
1964,ARG,0.0,0.008771929824561403,0.0,0.002793296089385475,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
1968,ARG,0.0,0.0,0.013157894736842105,0.004597701149425287,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.09090909090909091,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,ARG,0.0,0.005952380952380952,0.0,0.001996007984031936,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.14285714285714285,0.0,0.1111111111111111,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,ARG,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,ARG,0.0,0.0049261083743842365,0.0045871559633027525,0.0032948929159802307,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,ARG,0.0,0.0,0.0037174721189591076,0.001422475106685633,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,ARG,0.0,0.007326007326007326,0.003355704697986577,0.0035629453681710215,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.08333333333333333,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,18.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2000,ARG,0.0,0.006666666666666667,0.0061162079510703364,0.004314994606256742,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.34848484848484845,0.0,0.0,0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
2004,ARG,0.006644518272425249,0.0,0.012307692307692308,0.0064794816414686825,0,0,0.0,0.0,0.015625,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,23.75,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.26515151515151514,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,ARG,0.006622516556291391,0.0,0.0113314447592068,0.006263048016701462,0,0,0.0,0.0,0.010416666666666666,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,27.0,0.0,0.0,0,0,0.0,0.07142857142857142,0.0,0.0,0.0,0.24242424242424246,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
