Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BK3,BOX,BKG,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TRI,VBV,WLF,WRF,WRG
1964,AUT,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0,0.0,0.25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1968,AUT,0.0,0.014492753623188406,0.013157894736842105,0.009195402298850575,0,0.0,0.0,0.0,0.0,0,0.0,0.05555555555555555,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1972,AUT,0.0,0.005952380952380952,0.010638297872340425,0.005988023952095809,0,0.0,0.0,0.0,0.0,0,0.0,0.043859649122807015,0,0.0,0,0.5,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1111111111111111,0.125,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1976,AUT,0.0,0.0,0.0055248618784530384,0.0020491803278688526,0,0.0,0.0,0.0,0.0,0,0.0,0.009009009009009009,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.08333333333333333,0.14285714285714285,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1988,AUT,0.005376344086021506,0.0,0.0,0.0016474464579901153,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1992,AUT,0.0,0.0091324200913242,0.0,0.002844950213371266,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1996,AUT,0.0,0.003663003663003663,0.006711409395973154,0.0035629453681710215,0,0.0,0.0,0.0,0.0,0,0.0,0.011363636363636364,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11904761904761904,0,0.0,0.1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2000,AUT,0.006666666666666667,0.0033333333333333335,0.0,0.003236245954692557,0,0.0,0.0,0.0,0.0,0,0.0,0.043478260869565216,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0,0.5454545454545454,0.058823529411764705,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2004,AUT,0.006644518272425249,0.013333333333333334,0.003076923076923077,0.00755939524838013,0,0.0,0.0,0.0,0.0625,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0,0.5454545454545454,0.10294117647058823,0.0,0.0,0,0.0,1.5,0.0,0.0,0.0,0.0
2008,AUT,0.0,0.0033003300330033004,0.0056657223796034,0.003131524008350731,0,0.0,0.0,0.0,0.057291666666666664,0,0.0,0.0,0,0.0,0,0.08333333333333333,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0,0.4242424242424242,0.03333333333333333,0.0,0.0,0,0.0,0.75,0.0,0.0,0.0,0.0
2012,AUT,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03125,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0,0.05,0.02222222222222222,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2016,AUT,0.0,0.0,0.002785515320334262,0.00102880658436214,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0,0.2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020,AUT,0.0029411764705882353,0.0029585798816568047,0.012437810945273632,0.006481481481481481,0,0.0,0.0,0.0,0.0,0,0.0,0.020833333333333332,0,0.0,0,0.0,0,0,0.0,0.75,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.03571428571428571,0,0.1,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0
2024,AUT,0.006097560975609756,0.0,0.0078125,0.004812319538017324,0,0.0,0.0,0.0,0.0,0,0.0,0.010416666666666666,0,0.0,0,0.0,0,0,0.0,0.375,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.023809523809523808,0,0.7333333333333334,0.0,0.0,0.375,0,0.0,0.0,0.0,0.0,0.0,0.0
