Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BK3,BOX,BKG,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TRI,VBV,WLF,WRF,WRG
1964,BEL,0.016260162601626018,0.0,0.008264462809917356,0.008379888268156424,0,0,0.0,0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0625
1968,BEL,0.0,0.007246376811594203,0.006578947368421052,0.004597701149425287,0,0,0.0,0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
1972,BEL,0.0,0.011904761904761904,0.0,0.003992015968063872,0,0,0.0,0,0.0,0.0,0.0,0.09868421052631579,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.07407407407407407,0.0,0.0
1976,BEL,0.0,0.0189873417721519,0.016574585635359115,0.012295081967213115,0,0,0.0,0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.75,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1988,BEL,0.0,0.0,0.009174311926605505,0.0032948929159802307,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.07142857142857142,0,0.0,0,0.0,0.07692307692307693,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1992,BEL,0.0,0.0045662100456621,0.007434944237918215,0.004267425320056899,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.10714285714285714,0,0.07142857142857142,0,0.0,0.038461538461538464,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1996,BEL,0.007380073800738007,0.007326007326007326,0.006711409395973154,0.007125890736342043,0,0,0.0,0,0.046875,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.2857142857142857,0,0.047619047619047616,0,0.2,0.02222222222222222,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2000,BEL,0.0,0.006666666666666667,0.009174311926605505,0.005393743257820928,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.3095238095238096,0,0.0,0,0.09090909090909091,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2004,BEL,0.0033222591362126247,0.0,0.006153846153846154,0.0032397408207343412,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.125,0,0.0,0,0.0606060606060606,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2008,BEL,0.006622516556291391,0.0,0.0,0.0020876826722338203,0,0,0.0,0,0.0,0.0,0.0,0.1595744680851064,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.03571428571428571,0,0.0,0,0.045454545454545456,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2012,BEL,0.0,0.003278688524590164,0.005681818181818182,0.003125,0,0,0.0,0,0.0,0.0,0.0,0.035460992907801414,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.09523809523809523,0,0.0,0,0.05,0.13333333333333333,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
