Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BK3,BOX,BKG,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TRI,VBV,WLF,WRF,WRG
1968,COL,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0
1972,COL,0.0,0.005952380952380952,0.010638297872340425,0.005988023952095809,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.18181818181818182,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.25,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0
1976,COL,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.14285714285714285,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0
1988,COL,0.0,0.0,0.0045871559633027525,0.0016474464579901153,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.08333333333333333,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0
1992,COL,0.0,0.0,0.0037174721189591076,0.001422475106685633,0,0.0,0.0,0,0.0,0,0.0,0.011627906976744186,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0
1996,COL,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.007575757575757575,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0
2000,COL,0.0033333333333333335,0.0,0.0,0.0010787486515641855,0,0.0,0.0,0,0.0,0,0.0,0.005434782608695652,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.1,0.0,0.0
2004,COL,0.0,0.0,0.006153846153846154,0.0021598272138228943,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.06666666666666667,0.0,0.0
2008,COL,0.0,0.006600660066006601,0.0028328611898017,0.003131524008350731,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.06666666666666667,0.09090909090909091,0.0
2012,COL,0.0033003300330033004,0.009836065573770493,0.014204545454545454,0.009375,0,0.0,0.0,0,0.0,0,0.0,0.02127659574468085,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.03571428571428571,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.04444444444444444,0.09090909090909091,0.0
2016,COL,0.00980392156862745,0.006514657980456026,0.008356545961002786,0.00823045267489712,0,0.0,0.0,0,0.0,0,0.0,0.03546099290780142,0,0.23076923076923078,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.07142857142857142,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.15,0.05555555555555555,0.0
2020,COL,0.0,0.011834319526627219,0.0024875621890547263,0.004629629629629629,0,0.0,0.0,0,0.0,0,0.0,0.08333333333333333,0,0.0,0,0,0.0,1.5,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.14285714285714285,0.0,0.0
2024,COL,0.0,0.009174311926605505,0.0026041666666666665,0.0038498556304138597,0,0.0,0.0,0,0.0,0,0.0,0.041666666666666664,0,0.0,0,0,0.0,0.75,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.14285714285714285,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.4,0.08333333333333333,0.0
