Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BK3,BOX,BKG,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TRI,VBV,WLF,WRF,WRG
1988,ECU,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
1992,ECU,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
1996,ECU,0.0036900369003690036,0.0,0.0,0.0011876484560570072,0,0,0.0,0.0,0.0,0,0.0,0.03409090909090909,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2000,ECU,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.021739130434782608,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2004,ECU,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.016304347826086956,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2008,ECU,0.0,0.0033003300330033004,0.0,0.0010438413361169101,0,0,0.0,0.0,0.0,0,0.0,0.026595744680851064,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2012,ECU,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2016,ECU,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2020,ECU,0.0058823529411764705,0.0029585798816568047,0.0,0.002777777777777778,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.75,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.35714285714285715,0.0,0.0
2024,ECU,0.003048780487804878,0.0061162079510703364,0.005208333333333333,0.004812319538017324,0,0,0.0,0.0,0.0,0,0.0,0.07291666666666667,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.25,0.08333333333333333,0.0
