Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BK3,BOX,BKG,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TRI,VBV,WLF,WRF,WRG
1968,ETH,0.006896551724137931,0.007246376811594203,0.0,0.004597701149425287,0,0,0,0,0.0,0,0,0.10185185185185186,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,ETH,0.0,0.0,0.010638297872340425,0.003992015968063872,0,0,0,0,0.0,0,0,0.07894736842105263,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,ETH,0.004651162790697674,0.0,0.007434944237918215,0.004267425320056899,0,0,0,0,0.0,0,0,0.11627906976744186,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,ETH,0.007380073800738007,0.0,0.003355704697986577,0.0035629453681710215,0,0,0,0,0.0,0,0,0.20454545454545456,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,ETH,0.013333333333333334,0.0033333333333333335,0.009174311926605505,0.008629989212513484,0,0,0,0,0.0,0,0,0.355072463768116,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ETH,0.006644518272425249,0.01,0.006153846153846154,0.00755939524838013,0,0,0,0,0.0,0,0,0.3641304347826087,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,ETH,0.013245033112582781,0.006600660066006601,0.0028328611898017,0.007306889352818371,0,0,0,0,0.0,0,0,0.37943262411347517,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,ETH,0.009900990099009901,0.006557377049180328,0.008522727272727272,0.008333333333333333,0,0,0,0,0.0,0,0,0.3333333333333333,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,ETH,0.0032679738562091504,0.006514657980456026,0.013927576601671309,0.00823045267489712,0,0,0,0,0.0,0,0,0.2836879432624113,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,ETH,0.0029411764705882353,0.0029585798816568047,0.004975124378109453,0.003703703703703704,0,0,0,0,0.0,0,0,0.14583333333333334,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,ETH,0.003048780487804878,0.009174311926605505,0.0,0.0038498556304138597,0,0,0,0,0.0,0,0,0.22916666666666666,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
