Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BK3,BOX,BKG,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TRI,VBV,WLF,WRF,WRG
1964,FIN,0.024390243902439025,0.0,0.01652892561983471,0.013966480446927373,0,0,0.0,0,0.0,0,0.0,0.08333333333333333,0,0.15,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.21428571428571427,0,0.0,0.9583333333333334,0.0,0,0,0.0,0,0,0.0,0.0,0.16666666666666666
1968,FIN,0.006896551724137931,0.014492753623188406,0.006578947368421052,0.009195402298850575,0,0,0.0,0,0.0,0,0.0,0.06944444444444445,0,0.09090909090909091,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.03571428571428571,0,0.0,0.2857142857142857,0.0,0,0,0.0,0,0,0.21428571428571427,0.0,0.0
1972,FIN,0.020689655172413793,0.005952380952380952,0.02127659574468085,0.015968063872255488,0,0,0.0,0,0.0,0,0.5,0.24122807017543857,0,0.18181818181818182,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.125,0,0,0.0,0,0.0,0,0,0.0,1.25,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.1111111111111111,0.0,0.03333333333333333
1976,FIN,0.026845637583892617,0.012658227848101266,0.0,0.012295081967213115,0,0,0.0,0,0.0,0,0.25,0.22972972972972974,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.125,0,0,0.0,0,0.0,0,0,0.0,0.25,0.21428571428571427,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.15
1988,FIN,0.005376344086021506,0.0049261083743842365,0.009174311926605505,0.006589785831960461,0,0,0.0,0,0.0,0,0.0,0.09523809523809523,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.10714285714285714,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.3
1992,FIN,0.004651162790697674,0.0091324200913242,0.007434944237918215,0.007112375533428165,0,0,0.0,0,0.03225806451612903,0,1.0,0.03488372093023256,0,0.08333333333333333,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.1
1996,FIN,0.0036900369003690036,0.007326007326007326,0.003355704697986577,0.004750593824228029,0,0,0.0,0,0.046875,0,0.41666666666666663,0.06439393939393939,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.26666666666666666
2000,FIN,0.006666666666666667,0.0033333333333333335,0.0030581039755351682,0.004314994606256742,0,0,0.0,0,0.020833333333333332,0,0.16666666666666666,0.03260869565217391,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.4090909090909091,0.029411764705882353,0.0,0,0,0.0,0,0,0.0,0.0,0.1875
2004,FIN,0.0,0.006666666666666667,0.0,0.0021598272138228943,0,0,0.0,0,0.015625,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.09090909090909091,0.14705882352941177,0.0,0,0,0.0,0,0,0.0,0.0,0.14285714285714285
2008,FIN,0.0033112582781456954,0.0033003300330033004,0.0056657223796034,0.0041753653444676405,0,0,0.0,0,0.0,0,0.0,0.010638297872340425,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.2857142857142857,0,0.0,0.3,0.0,0,0,0.0,0,0,0.0,0.0,0.0
2012,FIN,0.0,0.006557377049180328,0.002840909090909091,0.003125,0,0,0.0,0,0.0,0,0.0,0.028368794326241134,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.35,0.1,0.0,0,0,0.0,0,0,0.0,0.0,0.0
2016,FIN,0.0,0.0,0.002785515320334262,0.00102880658436214,0,0,0.0,0,0.0,0,0.0,0.015957446808510637,0,0.07692307692307693,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.06666666666666667,0.06666666666666667,0.0,0,0,0.0,0,0,0.0,0.0,0.0
2020,FIN,0.0,0.0,0.004975124378109453,0.001851851851851852,0,0,0.0,0,0.009523809523809523,0,0.0,0.0,0,0.07692307692307693,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0
2024,FIN,0.0,0.0,0.0,0.0,0,0,0.0,0,0.007142857142857143,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0
