Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BK3,BOX,BKG,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TRI,VBV,WLF,WRF,WRG
1964,IND,0.008130081300813009,0.0,0.0,0.002793296089385475,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.375,0.375
1968,IND,0.0,0.0,0.006578947368421052,0.0022988505747126436,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0
1972,IND,0.0,0.0,0.005319148936170213,0.001996007984031936,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0
1976,IND,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0
1988,IND,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0
1992,IND,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0
1996,IND,0.0,0.0,0.003355704697986577,0.0011876484560570072,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0
2000,IND,0.0,0.0,0.0030581039755351682,0.0010787486515641855,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.06666666666666667,0.0,0.0
2004,IND,0.0,0.0033333333333333335,0.0,0.0010799136069114472,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.11764705882352941,0,0,0,0.0,0,0,0.03333333333333333,0.0,0.0
2008,IND,0.0033112582781456954,0.0,0.0056657223796034,0.003131524008350731,0,0,0.0,0,0.0,0,0.0,0.0,0,0.045454545454545456,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.13333333333333333,0,0,0,0.0,0,0,0.0,0.045454545454545456,0.0
2012,IND,0.0,0.006557377049180328,0.011363636363636364,0.00625,0,0,0.0,0,0.0,0,0.0,0.0,0,0.10256410256410256,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.20555555555555555,0,0,0,0.0,0,0,0.0,0.1212121212121212,0.0
2016,IND,0.0,0.003257328990228013,0.002785515320334262,0.00205761316872428,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.06666666666666667,0,0,0,0.0,0,0,0.0,0.10416666666666667,0.0
2020,IND,0.0029411764705882353,0.005917159763313609,0.009950248756218905,0.006481481481481481,0,0,0.0,0,0.0,0,0.0,0.0625,0,0.07692307692307693,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.14285714285714285,0.25,0.0
2024,IND,0.0,0.0030581039755351682,0.013020833333333334,0.005774783445620789,0,0,0.0,0,0.0,0,0.0,0.052083333333333336,0,0.038461538461538464,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.2,0,0,0,0.0,0,0,0.0,0.08333333333333333,0.0
