Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BK3,BOX,BKG,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TRI,VBV,WLF,WRF,WRG
1964,IRL,0.0,0.0,0.008264462809917356,0.002793296089385475,0,0,0.0,0,0.0,0,0.0,0.0,0,0.1,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0
1968,IRL,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.045454545454545456,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0
1972,IRL,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0
1976,IRL,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0
1988,IRL,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0
1992,IRL,0.004651162790697674,0.0045662100456621,0.0,0.002844950213371266,0,0,0.0,0,0.0,0,0.0,0.0,0,0.20833333333333334,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0
1996,IRL,0.01107011070110701,0.0,0.003355704697986577,0.004750593824228029,0,0,0.0,0,0.10416666666666667,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0
2000,IRL,0.0,0.0033333333333333335,0.0,0.0010787486515641855,0,0,0.0,0,0.0,0,0.0,0.014492753623188404,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0
2004,IRL,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.010869565217391304,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0
2008,IRL,0.0,0.0033003300330033004,0.0056657223796034,0.003131524008350731,0,0,0.0,0,0.0,0,0.0,0.0,0,0.36363636363636365,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0
2012,IRL,0.0033003300330033004,0.003278688524590164,0.011363636363636364,0.00625,0,0,0.0,0,0.0,0,0.0,0.0,0,0.46153846153846156,0,0.0,0,0,0,0.0,0,0.0,0.0,0.25,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0
2016,IRL,0.0,0.006514657980456026,0.0,0.00205761316872428,0,0,0.0,0,0.0,0,0.0,0.0,0,0.20512820512820512,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.2857142857142857,0.0,0.1,0.0,0,0,0,0,0.0,0,0.0,0.0,0
2020,IRL,0.0058823529411764705,0.0,0.004975124378109453,0.003703703703703704,0,0,0.0,0,0.0,0,0.0,0.0,0,0.3076923076923077,0,0.0,0,0,0,0.0,0,0.0,0.0,0.25,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.6785714285714286,0.0,0.06666666666666667,0.0,0,0,0,0,0.0,0,0.0,0.0,0
2024,IRL,0.012195121951219513,0.0,0.0078125,0.006737247353224254,0,0,0.0,0,0.014285714285714285,0,0.0,0.0,0,0.2692307692307692,0,0.0,0,0,0,0.0,0,0.0,0.0,0.16666666666666666,0.0,0,0,0.0,0.10714285714285714,0,0,0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0
