Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BK3,BOX,BKG,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TRI,VBV,WLF,WRF,WRG
1964,ISL,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0
1968,ISL,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0
1972,ISL,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0
1976,ISL,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0
1988,ISL,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0
1992,ISL,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0
1996,ISL,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0
2000,ISL,0.0,0.0,0.0030581039755351682,0.0010787486515641855,0,0,0,0,0.0,0,0,0.021739130434782608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0
2004,ISL,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0
2008,ISL,0.0,0.0033003300330033004,0.0,0.0010438413361169101,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0
2012,ISL,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.666666666666667,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0
2016,ISL,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0
2020,ISL,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0
2024,ISL,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0
