Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BK3,BOX,BKG,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TRI,VBV,WLF,WRF,WRG
1968,KEN,0.020689655172413793,0.028985507246376812,0.013157894736842105,0,0,0,0,0.0,0,0.0,0.027777777777777776,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
1972,KEN,0.013793103448275862,0.017857142857142856,0.02127659574468085,0,0,0,0,0.0,0,0.0,0.3026315789473684,0,0.045454545454545456,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
1988,KEN,0.026881720430107527,0.009852216748768473,0.009174311926605505,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
1992,KEN,0.009302325581395349,0.0182648401826484,0.007434944237918215,0,0,0,0,0.0,0,0.0,0.11627906976744186,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
1996,KEN,0.0036900369003690036,0.014652014652014652,0.010067114093959731,0,0,0,0,0.0,0,0.0,0.20454545454545456,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
2000,KEN,0.006666666666666667,0.01,0.0061162079510703364,0,0,0,0,0.0,0,0.0,0.06521739130434782,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
2004,KEN,0.0033222591362126247,0.013333333333333334,0.006153846153846154,0,0,0,0,0.0,0,0.0,0.09782608695652174,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
2008,KEN,0.019867549668874173,0.013201320132013201,0.0169971671388102,0,0,0,0,0.0,0,0.0,0.1702127659574468,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
2012,KEN,0.006600660066006601,0.013114754098360656,0.019886363636363636,0,0,0,0,0.0,0,0.0,0.2765957446808511,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
2016,KEN,0.0196078431372549,0.019543973941368076,0.002785515320334262,0,0,0,0,0.0,0,0.0,0.23758865248226949,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020,KEN,0.011764705882352941,0.011834319526627219,0.004975124378109453,0,0,0,0,0.0,0,0.0,0.09375,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024,KEN,0.012195121951219513,0.0061162079510703364,0.013020833333333334,0,0,0,0,0.0,0,0.0,0.2708333333333333,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
