Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BK3,BOX,BKG,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TRI,VBV,WLF,WRF,WRG
1968,TPE,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0
1972,TPE,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0
1988,TPE,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0
1992,TPE,0.0,0.0045662100456621,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0
1996,TPE,0.0,0.003663003663003663,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0
2000,TPE,0.0,0.0033333333333333335,0.012232415902140673,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.5,0,0,0.0,0.0,0
2004,TPE,0.006644518272425249,0.006666666666666667,0.003076923076923077,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0
2008,TPE,0.0033112582781456954,0.0033003300330033004,0.0056657223796034,0,0,0.0,0,0.0,0,1.5,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0
2012,TPE,0.0033003300330033004,0.0,0.002840909090909091,0,0,0.0,0,0.0,0,0.25,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0
2016,TPE,0.0032679738562091504,0.0,0.005571030640668524,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.16666666666666666,0.0,0
2020,TPE,0.0058823529411764705,0.011834319526627219,0.014925373134328358,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0
2024,TPE,0.006097560975609756,0.0,0.013020833333333334,0,0,0.0,0,0.0,0,0.4,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.13333333333333333,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.4,0.0,0
